EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-11.148,-11.294,-11.225,-11.094,-11.100,-11.537,-11.081,-11.188,-0.007,0.984,-0.044,-0.183,-0.458,0.458,26.667,2697.000,1.000
-12.304,-12.149,-11.890,-12.194,-11.992,-12.313,-12.080,-12.237,-0.008,0.985,-0.048,-0.153,-0.458,0.458,26.667,2698.000,1.000
-5.114,-4.764,-4.457,-4.988,-4.828,-4.825,-4.847,-4.852,-0.009,0.984,-0.048,-0.122,-0.366,0.549,26.667,2699.000,1.000
-1.220,-0.849,-0.671,-1.001,-1.011,-0.944,-0.939,-0.785,-0.007,0.986,-0.049,-0.031,-0.488,0.366,26.667,2700.000,1.000
-6.642,-6.405,-6.429,-6.376,-6.446,-6.518,-6.393,-6.308,-0.006,0.986,-0.048,-0.061,-0.519,0.244,26.667,2701.000,1.000
-10.500,-10.360,-10.525,-10.363,-10.391,-10.374,-10.294,-10.538,-0.007,0.986,-0.049,-0.153,-0.488,0.214,26.667,2702.000,1.000
-5.744,-5.550,-5.772,-5.777,-5.814,-5.500,-5.533,-6.083,-0.007,0.986,-0.046,-0.092,-0.458,0.275,26.667,2703.000,1.000
-2.045,-1.818,-2.054,-2.137,-2.243,-1.824,-1.870,-2.405,-0.005,0.987,-0.047,-0.092,-0.488,0.244,26.667,2704.000,1.000
-6.629,-6.482,-6.706,-6.689,-6.797,-6.552,-6.581,-6.828,-0.007,0.985,-0.045,-0.031,-0.397,0.122,26.667,2705.000,1.000
-10.499,-10.504,-10.619,-10.535,-10.580,-10.533,-10.635,-10.527,-0.007,0.986,-0.052,-0.092,-0.519,0.000,26.667,2706.000,1.000
-6.173,-6.425,-6.280,-6.276,-6.282,-6.342,-6.492,-6.115,-0.008,0.987,-0.050,-0.061,-0.488,0.092,26.667,2707.000,1.000
-2.467,-2.937,-2.535,-2.656,-2.630,-2.750,-2.803,-2.389,-0.008,0.986,-0.051,-0.061,-0.549,0.092,26.667,2708.000,1.000
-8.139,-8.587,-8.181,-8.298,-8.216,-8.410,-8.340,-8.051,-0.011,0.985,-0.049,0.031,-0.519,0.122,26.667,2709.000,1.000
-15.217,-15.421,-15.269,-15.235,-15.134,-15.473,-15.395,-15.077,-0.010,0.989,-0.054,-0.031,-0.427,0.153,26.667,2710.000,1.000
-13.145,-12.990,-13.118,-12.991,-12.972,-13.385,-13.358,-12.881,-0.011,0.986,-0.051,-0.122,-0.427,0.183,26.667,2711.000,1.000
-7.515,-7.060,-7.306,-7.271,-7.405,-7.632,-7.581,-7.175,-0.010,0.986,-0.054,-0.031,-0.427,0.153,26.667,2712.000,1.000
-9.002,-8.554,-8.708,-8.803,-9.079,-9.062,-8.904,-8.796,-0.012,0.986,-0.050,-0.061,-0.397,0.305,26.667,2713.000,1.000
-13.816,-13.596,-13.545,-13.588,-13.950,-13.994,-13.700,-13.779,-0.011,0.987,-0.051,-0.153,-0.458,0.305,26.667,2714.000,1.000
-11.984,-11.890,-11.697,-11.547,-11.880,-12.194,-11.816,-11.827,-0.010,0.988,-0.052,-0.214,-0.488,0.305,26.667,2715.000,1.000
-6.760,-6.669,-6.457,-6.259,-6.384,-6.774,-6.495,-6.354,-0.010,0.985,-0.053,-0.275,-0.519,0.275,26.667,2716.000,1.000
-8.576,-8.497,-8.342,-8.294,-8.236,-8.381,-8.361,-8.190,-0.009,0.988,-0.052,-0.183,-0.397,0.366,26.667,2717.000,1.000
-15.250,-15.096,-15.068,-15.100,-15.182,-15.019,-15.138,-15.064,-0.007,0.985,-0.053,-0.122,-0.488,0.336,26.667,2718.000,1.000
-14.990,-14.652,-14.813,-14.742,-15.052,-14.817,-14.876,-14.878,-0.008,0.987,-0.052,-0.244,-0.549,0.244,26.667,2719.000,1.000
