EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-153.272,3.714,-2.861,-12.853,-5.193,50.363,14.928,3.846,-0.090,1.017,-0.042,7.751,-140.594,44.891,100.000,17761.000,1.000
-159.608,-9.079,-19.410,-23.254,-12.504,39.383,-6.953,-10.207,-0.056,1.000,-0.049,7.690,-141.724,44.678,100.000,17762.000,1.000
-150.176,-16.888,-29.899,-28.668,-12.384,26.115,-23.621,-19.579,-0.020,0.987,-0.051,7.965,-142.181,44.128,100.000,17763.000,1.000
-129.660,-21.954,-36.246,-31.297,-9.508,9.097,-37.924,-29.040,0.018,0.968,-0.056,8.179,-142.303,43.640,100.000,17764.000,1.000
-106.333,-26.152,-40.595,-33.011,-8.974,-9.418,-53.465,-42.312,0.038,0.961,-0.059,8.240,-141.998,43.365,100.000,17765.000,1.000
-86.246,-29.107,-43.278,-34.223,-11.750,-24.591,-69.859,-58.546,0.075,0.947,-0.060,8.942,-140.686,42.572,100.000,17766.000,1.000
-71.051,-29.744,-43.546,-34.792,-15.410,-33.461,-82.898,-74.506,0.106,0.938,-0.063,10.010,-138.519,41.443,100.000,17767.000,1.000
-59.865,-28.138,-41.057,-34.834,-17.749,-36.805,-88.445,-88.028,0.128,0.940,-0.064,11.078,-135.803,40.253,100.000,17768.000,1.000
-51.450,-25.204,-36.112,-34.499,-18.170,-36.667,-85.204,-97.647,0.145,0.940,-0.066,12.024,-132.965,38.818,100.000,17769.000,1.000
-45.109,-21.846,-29.465,-33.843,-16.831,-33.754,-74.957,-100.766,0.155,0.948,-0.065,13.092,-129.730,37.384,100.000,17770.000,1.000
-41.116,-19.209,-22.615,-33.169,-14.287,-28.051,-61.879,-94.947,0.160,0.960,-0.059,13.824,-126.221,35.889,100.000,17771.000,1.000
-40.590,-18.696,-17.531,-32.938,-11.638,-20.472,-51.124,-80.609,0.159,0.970,-0.055,14.313,-122.711,34.424,100.000,17772.000,1.000
-43.979,-20.527,-15.192,-33.078,-9.672,-11.974,-46.171,-60.600,0.156,0.985,-0.050,14.587,-119.415,33.051,100.000,17773.000,1.000
-49.146,-22.520,-14.402,-32.525,-7.559,-2.026,-46.539,-37.411,0.150,0.995,-0.049,14.648,-116.119,31.677,100.000,17774.000,1.000
-51.440,-21.037,-12.245,-29.470,-2.870,9.758,-48.129,-12.159,0.148,1.004,-0.044,14.648,-113.007,30.273,100.000,17775.000,1.000
