EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
145468.563,145012.141,490407.938,402053.906,138992.453,163813.172,137983.313,151892.094,-0.028,1.012,-0.109,-0.397,0.702,0.854,93.333,9929.000,1.000
144976.813,144826.703,489913.781,401974.313,138332.094,163394.922,137846.344,151323.828,-0.025,1.010,-0.108,-0.366,0.702,0.885,93.333,9930.000,1.000
145294.922,145010.703,490136.313,402051.219,138575.094,163645.094,137972.500,151670.813,-0.025,1.011,-0.111,-0.488,0.641,0.885,93.333,9931.000,1.000
145935.703,145276.422,490746.344,402169.688,139396.484,164183.859,138177.781,152435.859,-0.027,1.013,-0.108,-0.519,0.580,0.824,93.333,9932.000,1.000
145600.250,145068.547,490496.000,402072.844,139136.938,163917.063,138028.375,152048.109,-0.029,1.010,-0.109,-0.580,0.610,0.885,93.333,9933.000,1.000
144996.219,144821.609,489914.594,401961.375,138382.969,163409.500,137848.313,151361.453,-0.028,1.010,-0.107,-0.610,0.488,0.854,93.333,9934.000,1.000
145192.469,144956.797,490011.688,402013.406,138462.719,163553.719,137937.188,151556.547,-0.027,1.011,-0.109,-0.671,0.580,0.763,93.333,9935.000,1.000
145860.344,145251.125,490634.125,402141.156,139286.953,164113.844,138156.938,152353.250,-0.029,1.012,-0.110,-0.763,0.610,0.824,93.333,9936.000,1.000
145729.797,145138.281,490572.188,402084.125,139270.063,164014.156,138069.953,152187.938,-0.029,1.012,-0.109,-0.793,0.549,0.732,93.333,9937.000,1.000
145051.656,144842.531,489941.500,401952.438,138465.484,163451.969,137854.750,151416.797,-0.029,1.013,-0.106,-0.885,0.427,0.580,93.333,9938.000,1.000
145113.078,144915.672,489908.500,401973.875,138373.578,163480.313,137899.547,151455.422,-0.030,1.013,-0.109,-0.946,0.397,0.519,93.333,9939.000,1.000
145771.203,145216.781,490501.531,402101.719,139146.672,164034.094,138127.625,152239.172,-0.030,1.011,-0.106,-0.946,0.397,0.549,93.333,9940.000,1.000
145835.578,145185.313,490618.031,402080.188,139368.141,164099.547,138110.359,152316.156,-0.032,1.012,-0.105,-1.099,0.275,0.458,93.333,9941.000,1.000
145118.531,144855.766,489975.844,401934.000,138566.344,163516.969,137877.094,151507.188,-0.033,1.013,-0.105,-1.221,0.275,0.458,93.333,9942.000,1.000
145048.344,144876.328,489823.125,401939.625,138323.422,163442.406,137885.766,151391.141,-0.034,1.013,-0.106,-1.282,0.183,0.427,93.333,9943.000,1.000
145654.703,145169.484,490351.344,402063.563,138997.375,163946.828,138099.281,152099.609,-0.032,1.014,-0.104,-1.312,-0.031,0.336,93.333,9944.000,1.000
145916.484,145230.906,490643.781,402083.219,139440.828,164170.078,138142.375,152403.406,-0.035,1.012,-0.106,-1.221,-0.122,0.275,93.333,9945.000,1.000
145220.906,144893.484,490035.281,401929.094,138692.406,163603.422,137894.891,151611.359,-0.035,1.011,-0.108,-1.312,-0.092,0.122,93.333,9946.000,1.000
