thisRow.t,notes,Start.started,textWelcome.started,keyWelcome.started,Start.stopped,break_1.started,polygon.started,break_1.stopped,trial_18.started,eegtime,hz18.started,hz18.stopped,trial_18.stopped,break_2.started,polygon_2.started,polygon_2.stopped,break_2.stopped,trial_16.started,hz16.started,hz16.stopped,trial_16.stopped,trial_9.started,hz9.started,hz9.stopped,trial_9.stopped,trial_24.started,hz24.started,hz24.stopped,trial_24.stopped,polygon.stopped,Adios.started,text_3.started,key_resp.started,Adios.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.09480389999998806,0.10176650000005338,0.10176650000005338,4.136782799999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,4.136808500000029,4.14821470000004,6.637125500000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,6.637143499999979,2,6.642234600000052,26.63306280000006,26.626465600000074,,,,,,,,,,,,,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,,,,,,26.626532699999984,26.63306280000006,36.62507260000007,36.62015670000005,,,,,,,,,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,,4,,,,,,,,36.620174200000065,36.62507260000007,56.61577629999999,56.609246400000075,,,,,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,,,,,,56.6093128,56.62966349999999,66.62170120000008,66.61510250000003,,,,,,,,,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,,6,,,,,,,,,,,,66.61512460000006,66.62861170000008,86.62088310000001,86.61281770000005,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,,,,,,86.61288400000001,86.62636080000004,96.6200943,96.61164240000005,,,,,,,,,,,,,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,,8,,,,,,,,,,,,,,,,96.61165990000006,96.62542689999998,116.61639220000006,116.60958890000006,,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,116.60968309999998,116.63020019999999,119.11621350000007,,,,,,,,,,,,,,,,,,,,,,119.12283460000003,,,,,,,,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.11623050000003,119.12966089999998,119.12966089999998,122.0675301,space,2.936112200000025,None,414151,001,2024-07-02_00h55.29.142,untitled,2024.1.5,None,2024-07-02 00h55.38.401974 -0400,
